"","Leto","Drzava","Prevozno_sredstvo","Stevilo"
"466",2013,"Netherlands","Avto",180
"467",2013,"Norway","Avto",105
"468",2013,"Poland","Avto",NA
"469",2013,"Portugal","Avto",214
"470",2013,"Romania","Avto",721
"471",2013,"Slovakia","Avto",NA
"472",2013,"Slovenia","Avto",40
"473",2013,"Spain","Avto",712
"474",2013,"Sweden","Avto",144
"475",2013,"Switzerland","Avto",103
"476",2013,"United Kingdom","Avto",815
"477",2014,"Austria","Avto",191
"478",2014,"Belgium","Avto",379
"479",2014,"Bulgaria","Avto",379
"480",2014,"Croatia","Avto",141
"481",2014,"Czechia","Avto",347
"482",2014,"Denmark","Avto",89
"483",2014,"Estonia","Avto",33
"484",2014,"Finland","Avto",121
"485",2014,"France","Avto",NA
"486",2014,"Germany (until 1990 former territory of the FRG)","Avto",NA
"487",2014,"Greece","Avto",289
"488",2014,"Hungary","Avto",256
"489",2014,"Ireland","Avto",103
"490",2014,"Italy","Avto",NA
"491",2014,"Latvia","Avto",91
"492",2014,"Lithuania","Avto",118
"493",2014,"Luxembourg","Avto",24
"494",2014,"Netherlands","Avto",171
"495",2014,"Norway","Avto",72
"496",2014,"Poland","Avto",NA
"497",2014,"Portugal","Avto",223
"498",2014,"Romania","Avto",724
"499",2014,"Slovakia","Avto",NA
"500",2014,"Slovenia","Avto",41
"501",2014,"Spain","Avto",719
"502",2014,"Sweden","Avto",122
"503",2014,"Switzerland","Avto",97
"504",2014,"United Kingdom","Avto",835
"505",2015,"Austria","Avto",241
"506",2015,"Belgium","Avto",361
"507",2015,"Bulgaria","Avto",396
"508",2015,"Croatia","Avto",164
"509",2015,"Czechia","Avto",365
"510",2015,"Denmark","Avto",74
"511",2015,"Estonia","Avto",35
"512",2015,"Finland","Avto",156
"513",2015,"France","Avto",NA
"514",2015,"Germany (until 1990 former territory of the FRG)","Avto",NA
"515",2015,"Greece","Avto",314
"516",2015,"Hungary","Avto",304
"517",2015,"Ireland","Avto",NA
"518",2015,"Italy","Avto",NA
"519",2015,"Latvia","Avto",85
"520",2015,"Lithuania","Avto",115
"521",2015,"Luxembourg","Avto",16
"522",2015,"Netherlands","Avto",214
"523",2015,"Norway","Avto",67
"524",2015,"Poland","Avto",NA
"525",2015,"Portugal","Avto",214
"526",2015,"Romania","Avto",787
"527",2015,"Slovakia","Avto",NA
"528",2015,"Slovenia","Avto",38
"529",2015,"Spain","Avto",693
"530",2015,"Sweden","Avto",144
"531",2015,"Switzerland","Avto",75
"532",2015,"United Kingdom","Avto",798
"533",2016,"Austria","Avto",191
"534",2016,"Belgium","Avto",327
"535",2016,"Bulgaria","Avto",NA
"536",2016,"Croatia","Avto",148
"537",2016,"Czechia","Avto",328
"538",2016,"Denmark","Avto",96
"539",2016,"Estonia","Avto",NA
"540",2016,"Finland","Avto",NA
"541",2016,"France","Avto",NA
"542",2016,"Germany (until 1990 former territory of the FRG)","Avto",NA
"543",2016,"Greece","Avto",340
"544",2016,"Hungary","Avto",269
"545",2016,"Ireland","Avto",NA
"546",2016,"Italy","Avto",NA
"547",2016,"Latvia","Avto",71
"548",2016,"Lithuania","Avto",NA
"549",2016,"Luxembourg","Avto",19
"550",2016,"Netherlands","Avto",225
"551",2016,"Norway","Avto",67
"552",2016,"Poland","Avto",NA
"553",2016,"Portugal","Avto",225
"554",2016,"Romania","Avto",785
"555",2016,"Slovakia","Avto",NA
"556",2016,"Slovenia","Avto",45
"557",2016,"Spain","Avto",754
"558",2016,"Sweden","Avto",138
"559",2016,"Switzerland","Avto",75
"560",2016,"United Kingdom","Avto",853
"561",2007,"Austria","Vlak",52
"562",2007,"Belgium","Vlak",38
"563",2007,"Bulgaria","Vlak",27
"564",2007,"Croatia","Vlak",NA
"565",2007,"Czechia","Vlak",25
"566",2007,"Denmark","Vlak",8
"567",2007,"Estonia","Vlak",14
"568",2007,"Finland","Vlak",18
"569",2007,"France","Vlak",82
"570",2007,"Germany (until 1990 former territory of the FRG)","Vlak",180
"571",2007,"Greece","Vlak",18
"572",2007,"Hungary","Vlak",80
"573",2007,"Ireland","Vlak",2
"574",2007,"Italy","Vlak",68
"575",2007,"Latvia","Vlak",28
"576",2007,"Lithuania","Vlak",36
"577",2007,"Luxembourg","Vlak",NA
"578",2007,"Netherlands","Vlak",20
"579",2007,"Norway","Vlak",1
"580",2007,"Poland","Vlak",357
"581",2007,"Portugal","Vlak",58
"582",2007,"Romania","Vlak",186
"583",2007,"Slovakia","Vlak",57
"584",2007,"Slovenia","Vlak",17
"585",2007,"Spain","Vlak",65
"586",2007,"Sweden","Vlak",23
"587",2007,"Switzerland","Vlak",NA
"588",2007,"United Kingdom","Vlak",58
"589",2008,"Austria","Vlak",39
"590",2008,"Belgium","Vlak",21
"591",2008,"Bulgaria","Vlak",44
"592",2008,"Croatia","Vlak",NA
"593",2008,"Czechia","Vlak",44
"594",2008,"Denmark","Vlak",11
"595",2008,"Estonia","Vlak",8
"596",2008,"Finland","Vlak",21
"597",2008,"France","Vlak",94
"598",2008,"Germany (until 1990 former territory of the FRG)","Vlak",164
"599",2008,"Greece","Vlak",17
"600",2008,"Hungary","Vlak",115
"601",2008,"Ireland","Vlak",3
"602",2008,"Italy","Vlak",64
"603",2008,"Latvia","Vlak",29
"604",2008,"Lithuania","Vlak",40
"605",2008,"Luxembourg","Vlak",NA
"606",2008,"Netherlands","Vlak",20
"607",2008,"Norway","Vlak",1
"608",2008,"Poland","Vlak",308
"609",2008,"Portugal","Vlak",42
"610",2008,"Romania","Vlak",208
"611",2008,"Slovakia","Vlak",56
"612",2008,"Slovenia","Vlak",13
"613",2008,"Spain","Vlak",46
"614",2008,"Sweden","Vlak",13
"615",2008,"Switzerland","Vlak",NA
"616",2008,"United Kingdom","Vlak",58
"617",2009,"Austria","Vlak",34
"618",2009,"Belgium","Vlak",16
"619",2009,"Bulgaria","Vlak",28
"620",2009,"Croatia","Vlak",NA
"621",2009,"Czechia","Vlak",26
"622",2009,"Denmark","Vlak",14
"623",2009,"Estonia","Vlak",10
"624",2009,"Finland","Vlak",14
"625",2009,"France","Vlak",76
"626",2009,"Germany (until 1990 former territory of the FRG)","Vlak",170
"627",2009,"Greece","Vlak",22
"628",2009,"Hungary","Vlak",92
"629",2009,"Ireland","Vlak",1
"630",2009,"Italy","Vlak",80
"631",2009,"Latvia","Vlak",17
"632",2009,"Lithuania","Vlak",33
"633",2009,"Luxembourg","Vlak",3
"634",2009,"Netherlands","Vlak",14
"635",2009,"Norway","Vlak",3
"636",2009,"Poland","Vlak",365
"637",2009,"Portugal","Vlak",32
"638",2009,"Romania","Vlak",150
"639",2009,"Slovakia","Vlak",72
"640",2009,"Slovenia","Vlak",11
"641",2009,"Spain","Vlak",31
"642",2009,"Sweden","Vlak",19
"643",2009,"Switzerland","Vlak",22
"644",2009,"United Kingdom","Vlak",53
"645",2010,"Austria","Vlak",30
