"";"Regija";"Placilni.razred";"Leto";"Spol";"Neto.placa"
"400";"Podravska";"05";"2012";"Moski";1938
"401";"Podravska";"05";"2013";"Moski";1994
"402";"Podravska";"05";"2014";"Moski";1997
"403";"Podravska";"05";"2015";"Moski";1939
"404";"Podravska";"05";"2016";"Moski";1981
"405";"Podravska";"05";"2017";"Moski";2140
"406";"Podravska";"06";"2009";"Moski";2621
"407";"Podravska";"06";"2010";"Moski";2523
"408";"Podravska";"06";"2011";"Moski";2167
"409";"Podravska";"06";"2012";"Moski";2041
"410";"Podravska";"06";"2013";"Moski";1964
"411";"Podravska";"06";"2014";"Moski";2052
"412";"Podravska";"06";"2015";"Moski";1991
"413";"Podravska";"06";"2016";"Moski";2196
"414";"Podravska";"06";"2017";"Moski";2181
"415";"Podravska";"07";"2009";"Moski";2867
"416";"Podravska";"07";"2010";"Moski";2684
"417";"Podravska";"07";"2011";"Moski";2367
"418";"Podravska";"07";"2012";"Moski";2179
"419";"Podravska";"07";"2013";"Moski";2022
"420";"Podravska";"07";"2014";"Moski";2101
"421";"Podravska";"07";"2015";"Moski";2121
"422";"Podravska";"07";"2016";"Moski";2324
"423";"Podravska";"07";"2017";"Moski";2333
"424";"Podravska";"08";"2009";"Moski";3221
"425";"Podravska";"08";"2010";"Moski";2790
"426";"Podravska";"08";"2011";"Moski";2309
"427";"Podravska";"08";"2012";"Moski";2301
"428";"Podravska";"08";"2013";"Moski";2114
"429";"Podravska";"08";"2014";"Moski";2287
"430";"Podravska";"08";"2015";"Moski";2321
"431";"Podravska";"08";"2016";"Moski";2349
"432";"Podravska";"08";"2017";"Moski";2449
"433";"Podravska";"09";"2009";"Moski";3171
"434";"Podravska";"09";"2010";"Moski";2634
"435";"Podravska";"09";"2011";"Moski";2295
"436";"Podravska";"09";"2012";"Moski";2221
"437";"Podravska";"09";"2013";"Moski";2196
"438";"Podravska";"09";"2014";"Moski";2230
"439";"Podravska";"09";"2015";"Moski";2208
"440";"Podravska";"09";"2016";"Moski";2363
"441";"Podravska";"09";"2017";"Moski";2452
"442";"Podravska";"10";"2009";"Moski";2888
"443";"Podravska";"10";"2010";"Moski";2498
"444";"Podravska";"10";"2011";"Moski";2248
"445";"Podravska";"10";"2012";"Moski";2234
"446";"Podravska";"10";"2013";"Moski";2161
"447";"Podravska";"10";"2014";"Moski";2257
"448";"Podravska";"10";"2015";"Moski";2170
"449";"Podravska";"10";"2016";"Moski";2238
"450";"Podravska";"10";"2017";"Moski";2314
"451";"Podravska";"11";"2009";"Moski";2627
"452";"Podravska";"11";"2010";"Moski";2290
"453";"Podravska";"11";"2011";"Moski";2174
"454";"Podravska";"11";"2012";"Moski";2145
"455";"Podravska";"11";"2013";"Moski";2016
"456";"Podravska";"11";"2014";"Moski";2112
"457";"Podravska";"11";"2015";"Moski";2142
"458";"Podravska";"11";"2016";"Moski";2233
"459";"Podravska";"11";"2017";"Moski";2297
"460";"Podravska";"12";"2009";"Moski";2421
"461";"Podravska";"12";"2010";"Moski";2262
"462";"Podravska";"12";"2011";"Moski";2044
"463";"Podravska";"12";"2012";"Moski";1990
"464";"Podravska";"12";"2013";"Moski";1930
"465";"Podravska";"12";"2014";"Moski";2157
"466";"Podravska";"12";"2015";"Moski";2044
"467";"Podravska";"12";"2016";"Moski";2104
"468";"Podravska";"12";"2017";"Moski";2055
"469";"Podravska";"13";"2009";"Moski";2271
"470";"Podravska";"13";"2010";"Moski";2133
"471";"Podravska";"13";"2011";"Moski";1874
"472";"Podravska";"13";"2012";"Moski";1881
"473";"Podravska";"13";"2013";"Moski";1853
"474";"Podravska";"13";"2014";"Moski";2011
"475";"Podravska";"13";"2015";"Moski";1942
"476";"Podravska";"13";"2016";"Moski";2032
"477";"Podravska";"13";"2017";"Moski";2136
"478";"Podravska";"14";"2009";"Moski";2185
"479";"Podravska";"14";"2010";"Moski";2061
"480";"Podravska";"14";"2011";"Moski";1868
"481";"Podravska";"14";"2012";"Moski";1861
"482";"Podravska";"14";"2013";"Moski";1673
"483";"Podravska";"14";"2014";"Moski";1830
"484";"Podravska";"14";"2015";"Moski";1787
"485";"Podravska";"14";"2016";"Moski";1913
"486";"Podravska";"14";"2017";"Moski";1961
"487";"Podravska";"15";"2009";"Moski";2067
"488";"Podravska";"15";"2010";"Moski";2018
"489";"Podravska";"15";"2011";"Moski";1848
"490";"Podravska";"15";"2012";"Moski";1834
"491";"Podravska";"15";"2013";"Moski";1675
"492";"Podravska";"15";"2014";"Moski";1744
"493";"Podravska";"15";"2015";"Moski";1767
"494";"Podravska";"15";"2016";"Moski";1715
"495";"Podravska";"15";"2017";"Moski";1789
"496";"Podravska";"16";"2009";"Moski";2015
"497";"Podravska";"16";"2010";"Moski";1997
"498";"Podravska";"16";"2011";"Moski";1899
"499";"Podravska";"16";"2012";"Moski";1665
"500";"Podravska";"16";"2013";"Moski";1590
"501";"Podravska";"16";"2014";"Moski";1738
"502";"Podravska";"16";"2015";"Moski";1620
"503";"Podravska";"16";"2016";"Moski";1536
"504";"Podravska";"16";"2017";"Moski";1662
"505";"Podravska";"17";"2009";"Moski";1820
"506";"Podravska";"17";"2010";"Moski";1632
"507";"Podravska";"17";"2011";"Moski";1498
"508";"Podravska";"17";"2012";"Moski";1442
"509";"Podravska";"17";"2013";"Moski";1364
"510";"Podravska";"17";"2014";"Moski";1432
"511";"Podravska";"17";"2015";"Moski";1420
"512";"Podravska";"17";"2016";"Moski";1466
