"Povpreène meseène plaèe po: STATISTIÈNA REGIJA, SKD DEJAVNOST, MESEC,"
"PLAÈE , MERITVE"

" ";" ";" ";"Neto plaèa";" ";" "
" ";" ";" ";"Plaèa za obdobje [EUR]";"Plaèa za plaèano uro za obdobje [EUR]";"Povpreèje mesecev tekoèega leta / povpreèje istih mesecev prejšnjega leta"
"SLOVENIJA"
" ";"SKD Dejavnost"
" ";" ";"2015";1079.64;6.56;113.40
" ";" ";"2016";937.20;5.86;94.30
" ";"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI"
" ";" ";"2005";777.88;4.56;101.10
" ";" ";"2006";817.34;4.87;105.10
" ";" ";"2007";863.52;4.96;105.70
" ";" ";"2008";883.75;5.17;102.30
" ";" ";"2009";905.19;5.39;102.40
" ";" ";"2010";947.78;5.81;104.70
" ";" ";"2011";919.86;5.60;97.10
" ";" ";"2012";1015.12;6.02;110.40
" ";" ";"2013";978.91;5.74;96.40
" ";" ";"2014";974.44;5.66;99.50
" ";" ";"2015";916.79;5.50;94.10
" ";" ";"2016";923.26;5.65;99.10
" ";"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI"
" ";" ";"2005";501.84;2.94;105.60
" ";" ";"2006";528.98;3.09;105.40
" ";" ";"2007";565.68;3.30;106.90
" ";" ";"2008";590.96;3.47;104.50
" ";" ";"2009";640.25;3.79;108.30
" ";" ";"2010";694.75;4.22;108.50
" ";" ";"2011";730.63;4.40;105.20
" ";" ";"2012";763.80;4.48;104.50
" ";" ";"2013";776.01;4.43;101.60
" ";" ";"2014";750.37;4.31;96.70
" ";" ";"2015";762.72;4.39;101.60
" ";" ";"2016";708.15;4.29;93.30
" ";"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI"
" ";" ";"2005";803.12;5.01;106.20
" ";" ";"2006";829.54;4.85;103.30
" ";" ";"2007";892.07;4.97;107.50
" ";" ";"2008";906.52;5.09;101.60
" ";" ";"2009";1033.59;6.06;114.00
" ";" ";"2010";1050.33;6.51;101.60
" ";" ";"2011";1066.19;6.59;101.50
" ";" ";"2012";1083.83;6.34;101.70
" ";" ";"2013";1115.88;6.20;103.00
" ";" ";"2014";1070.98;5.96;96.00
" ";" ";"2015";1087.83;6.35;101.60
" ";" ";"2016";1091.11;6.41;101.30
" ";"P IZOBRAŽEVANJE"
" ";" ";"2005";851.78;5.10;108.00
" ";" ";"2006";892.90;5.34;104.80
" ";" ";"2007";971.03;5.75;108.80
" ";" ";"2008";985.33;5.91;101.50
" ";" ";"2009";1077.69;6.48;109.40
" ";" ";"2010";1076.19;6.76;99.90
" ";" ";"2011";1093.13;6.87;101.60
" ";" ";"2012";1089.22;6.55;99.60
" ";" ";"2013";1035.90;6.06;95.10
" ";" ";"2014";1046.52;6.08;101.00
" ";" ";"2015";1043.54;6.36;99.70
" ";" ";"2016";1032.58;6.37;99.60
" ";"Q ZDRAVSTVO IN SOCIALNO VARSTVO"
" ";" ";"2005";811.65;4.74;105.50
