"Zaposlene osebe po višini neto plaèe po: STATISTIÈNA REGIJA, RAZRED"
"NETO, LETO , SPOL"

" ";" ";" ";"Spol - SKUPAJ";"Moški";"Ženske"
"SLOVENIJA"
" ";"Razred neto - SKUPAJ"
" ";" ";"2011";4968;2021;2947
" ";" ";"2012";4347;1695;2652
" ";" ";"2013";4592;1740;2852
" ";" ";"2014";4498;1719;2779
" ";" ";"2015";4673;1837;2836
" ";" ";"2016";4857;1808;3049
" ";" ";"2017 (zaèasni podatki)";5027;1956;3071
" ";"03"
" ";" ";"2009";5099;2289;2810
" ";" ";"2010";4933;2327;2606
" ";" ";"2011";4885;2332;2553
" ";" ";"2012";4889;2219;2670
" ";" ";"2013";4523;2099;2424
" ";" ";"2014";5105;2259;2846
" ";" ";"2015";4650;2172;2478
" ";" ";"2016";4940;2117;2823
" ";" ";"2017 (zaèasni podatki)";4583;1935;2648
" ";"04"
" ";" ";"2009";4995;2323;2672
" ";" ";"2010";4763;2313;2450
" ";" ";"2011";4248;2023;2225
" ";" ";"2012";4201;2011;2190
" ";" ";"2013";4280;2028;2252
" ";" ";"2014";4176;2004;2172
" ";" ";"2015";4138;1950;2188
" ";" ";"2016";4299;1969;2330
" ";" ";"2017 (zaèasni podatki)";4163;1906;2257
" ";"05"
" ";" ";"2009";4500;2460;2040
" ";" ";"2010";4304;2399;1905
" ";" ";"2011";3876;2066;1810
" ";" ";"2012";3844;1938;1906
" ";" ";"2013";3932;1994;1938
" ";" ";"2014";3915;1997;1918
" ";" ";"2015";3759;1939;1820
" ";" ";"2016";3716;1981;1735
" ";" ";"2017 (zaèasni podatki)";4085;2140;1945
" ";"06"
" ";" ";"2009";4470;2621;1849
" ";" ";"2010";4340;2523;1817
" ";" ";"2011";3959;2167;1792
" ";" ";"2012";3856;2041;1815
" ";" ";"2013";3697;1964;1733
" ";" ";"2014";3650;2052;1598
" ";" ";"2015";3614;1991;1623
" ";" ";"2016";3866;2196;1670
" ";" ";"2017 (zaèasni podatki)";3999;2181;1818
" ";"07"
" ";" ";"2009";4604;2867;1737
" ";" ";"2010";4387;2684;1703
" ";" ";"2011";4107;2367;1740
" ";" ";"2012";3853;2179;1674
" ";" ";"2013";3673;2022;1651
" ";" ";"2014";3673;2101;1572
" ";" ";"2015";3676;2121;1555
" ";" ";"2016";3974;2324;1650
" ";" ";"2017 (zaèasni podatki)";3928;2333;1595
" ";"08"
" ";" ";"2009";4948;3221;1727
" ";" ";"2010";4394;2790;1604
" ";" ";"2011";3890;2309;1581
" ";" ";"2012";3825;2301;1524
" ";" ";"2013";3533;2114;1419
" ";" ";"2014";3794;2287;1507
" ";" ";"2015";3779;2321;1458
" ";" ";"2016";3967;2349;1618
" ";" ";"2017 (zaèasni podatki)";3988;2449;1539
" ";"09"
" ";" ";"2009";4724;3171;1553
" ";" ";"2010";4183;2634;1549
" ";" ";"2011";3824;2295;1529
" ";" ";"2012";3652;2221;1431
" ";" ";"2013";3600;2196;1404
" ";" ";"2014";3657;2230;1427
" ";" ";"2015";3641;2208;1433
" ";" ";"2016";3886;2363;1523
" ";" ";"2017 (zaèasni podatki)";3946;2452;1494
" ";"10"
" ";" ";"2009";4353;2888;1465
" ";" ";"2010";4012;2498;1514
" ";" ";"2011";3720;2248;1472
" ";" ";"2012";3619;2234;1385
" ";" ";"2013";3626;2161;1465
" ";" ";"2014";3728;2257;1471
" ";" ";"2015";3668;2170;1498
" ";" ";"2016";3679;2238;1441
